K = 4, D = 1, C = 3
config1 =

  scalar structure containing the fields:

    ndisc =  1
    ncont =  3
    nintr = 0


K = 4, Run (1,1,1): fitness => -4.53
K = 4, Run (1,10,4): fitness => -4.17
K = 4, Run (1,10,5): fitness => -4.17

K = 4, Run (2,1,1): fitness => -4.62
K = 4, Run (2,1,2): fitness => -4.56
K = 4, Run (2,1,3): fitness => -4.50
K = 4, Run (2,1,4): fitness => -4.47
K = 4, Run (2,1,5): fitness => -4.46

K = 4, Run (2,2,1): fitness => -4.54
K = 4, Run (2,2,2): fitness => -4.49
K = 4, Run (2,2,3): fitness => -4.47
K = 4, Run (2,2,4): fitness => -4.46
K = 4, Run (2,2,5): fitness => -4.46

K = 4, Run (2,3,1): fitness => -4.48
K = 4, Run (2,3,2): fitness => -4.46
K = 4, Run (2,3,3): fitness => -4.46
K = 4, Run (2,3,4): fitness => -4.46
K = 4, Run (2,3,5): fitness => -4.46

K = 4, Run (2,4,1): fitness => -4.46
K = 4, Run (2,4,2): fitness => -4.46
K = 4, Run (2,4,3): fitness => -4.46
K = 4, Run (2,4,4): fitness => -4.46
K = 4, Run (2,4,5): fitness => -4.46

K = 4, Run (2,5,1): fitness => -4.46
K = 4, Run (2,5,2): fitness => -4.46
K = 4, Run (2,5,3): fitness => -4.46
K = 4, Run (2,5,4): fitness => -4.46
K = 4, Run (2,5,5): fitness => -4.46

K = 4, Run (2,6,1): fitness => -4.46
K = 4, Run (2,6,2): fitness => -4.46
K = 4, Run (2,6,3): fitness => -4.46
K = 4, Run (2,6,4): fitness => -4.46
K = 4, Run (2,6,5): fitness => -4.46

K = 4, Run (2,7,1): fitness => -4.46
K = 4, Run (2,7,2): fitness => -4.46
K = 4, Run (2,7,3): fitness => -4.46
K = 4, Run (2,7,4): fitness => -4.46
K = 4, Run (2,7,5): fitness => -4.46

K = 4, Run (2,8,1): fitness => -4.46
K = 4, Run (2,8,2): fitness => -4.46
K = 4, Run (2,8,3): fitness => -4.46
K = 4, Run (2,8,4): fitness => -4.46
K = 4, Run (2,8,5): fitness => -4.46

K = 4, Run (2,9,1): fitness => -4.46
K = 4, Run (2,9,2): fitness => -4.46
K = 4, Run (2,9,3): fitness => -4.46
K = 4, Run (2,9,4): fitness => -4.46
K = 4, Run (2,9,5): fitness => -4.46

K = 4, Run (2,10,1): fitness => -4.46
K = 4, Run (2,10,2): fitness => -4.46
K = 4, Run (2,10,3): fitness => -4.46
K = 4, Run (2,10,4): fitness => -4.46
K = 4, Run (2,10,5): fitness => -4.46

#-4.17

real	0m0.613s
user	0m0.533s
sys	0m0.062s
K = 4, D = 1, C = 3
config1 =

  scalar structure containing the fields:

    ndisc =  1
    ncont =  3
    nintr = 0


K = 4, Run (1,1,1): fitness => -4.46
K = 4, Run (1,1,2): fitness => -4.40
K = 4, Run (1,1,3): fitness => -4.37
K = 4, Run (1,1,4): fitness => -4.36
K = 4, Run (1,1,5): fitness => -4.36

K = 4, Run (1,2,1): fitness => -4.38
K = 4, Run (1,2,2): fitness => -4.37
K = 4, Run (1,2,3): fitness => -4.36
K = 4, Run (1,2,4): fitness => -4.36
K = 4, Run (1,2,5): fitness => -4.36

K = 4, Run (1,3,1): fitness => -4.36
K = 4, Run (1,3,2): fitness => -4.36
K = 4, Run (1,3,3): fitness => -4.36
K = 4, Run (1,3,4): fitness => -4.36
K = 4, Run (1,3,5): fitness => -4.36

K = 4, Run (1,4,1): fitness => -4.36
K = 4, Run (1,4,2): fitness => -4.36
K = 4, Run (1,4,3): fitness => -4.36
K = 4, Run (1,4,4): fitness => -4.36
K = 4, Run (1,4,5): fitness => -4.36

K = 4, Run (1,5,1): fitness => -4.36
K = 4, Run (1,5,2): fitness => -4.36
K = 4, Run (1,5,3): fitness => -4.36
K = 4, Run (1,5,4): fitness => -4.36
K = 4, Run (1,5,5): fitness => -4.36

K = 4, Run (1,6,1): fitness => -4.36
K = 4, Run (1,6,2): fitness => -4.36
K = 4, Run (1,6,3): fitness => -4.36
K = 4, Run (1,6,4): fitness => -4.36
K = 4, Run (1,6,5): fitness => -4.36

K = 4, Run (1,7,1): fitness => -4.36
K = 4, Run (1,7,2): fitness => -4.36
K = 4, Run (1,7,3): fitness => -4.36
K = 4, Run (1,7,4): fitness => -4.36
K = 4, Run (1,7,5): fitness => -4.36

K = 4, Run (1,8,1): fitness => -4.36
K = 4, Run (1,8,2): fitness => -4.36
K = 4, Run (1,8,3): fitness => -4.36
K = 4, Run (1,8,4): fitness => -4.36
K = 4, Run (1,8,5): fitness => -4.36

K = 4, Run (1,9,1): fitness => -4.36
K = 4, Run (1,9,2): fitness => -4.36
K = 4, Run (1,9,3): fitness => -4.36
K = 4, Run (1,9,4): fitness => -4.36
K = 4, Run (1,9,5): fitness => -4.36

K = 4, Run (1,10,1): fitness => -4.36
K = 4, Run (1,10,2): fitness => -4.36
K = 4, Run (1,10,3): fitness => -4.36
K = 4, Run (1,10,4): fitness => -4.36
K = 4, Run (1,10,5): fitness => -4.36

K = 4, Run (2,1,1): fitness => -4.22
K = 4, Run (2,1,2): fitness => -3.98
K = 4, Run (2,1,3): fitness => -3.75
K = 4, Run (2,1,4): fitness => -3.63
K = 4, Run (2,1,5): fitness => -3.61

K = 4, Run (2,2,1): fitness => -3.85
K = 4, Run (2,2,2): fitness => -3.71
K = 4, Run (2,2,3): fitness => -3.63
K = 4, Run (2,2,4): fitness => -3.61
K = 4, Run (2,2,5): fitness => -3.61

K = 4, Run (2,3,1): fitness => -3.65
K = 4, Run (2,3,2): fitness => -3.62
K = 4, Run (2,3,3): fitness => -3.61
K = 4, Run (2,3,4): fitness => -3.61
K = 4, Run (2,3,5): fitness => -3.61

K = 4, Run (2,4,1): fitness => -3.61
K = 4, Run (2,4,2): fitness => -3.61
K = 4, Run (2,4,3): fitness => -3.61
K = 4, Run (2,4,4): fitness => -3.61
K = 4, Run (2,4,5): fitness => -3.61

K = 4, Run (2,5,1): fitness => -3.61
K = 4, Run (2,5,2): fitness => -3.61
K = 4, Run (2,5,3): fitness => -3.61
K = 4, Run (2,5,4): fitness => -3.61
K = 4, Run (2,5,5): fitness => -3.61

K = 4, Run (2,6,1): fitness => -3.61
K = 4, Run (2,6,2): fitness => -3.61
K = 4, Run (2,6,3): fitness => -3.61
K = 4, Run (2,6,4): fitness => -3.61
K = 4, Run (2,6,5): fitness => -3.61

K = 4, Run (2,7,1): fitness => -3.61
K = 4, Run (2,7,2): fitness => -3.61
K = 4, Run (2,7,3): fitness => -3.61
K = 4, Run (2,7,4): fitness => -3.61
K = 4, Run (2,7,5): fitness => -3.61

K = 4, Run (2,8,1): fitness => -3.61
K = 4, Run (2,8,2): fitness => -3.61
K = 4, Run (2,8,3): fitness => -3.61
K = 4, Run (2,8,4): fitness => -3.61
K = 4, Run (2,8,5): fitness => -3.61

K = 4, Run (2,9,1): fitness => -3.61
K = 4, Run (2,9,2): fitness => -3.61
K = 4, Run (2,9,3): fitness => -3.61
K = 4, Run (2,9,4): fitness => -3.61
K = 4, Run (2,9,5): fitness => -3.61

K = 4, Run (2,10,1): fitness => -3.61
K = 4, Run (2,10,2): fitness => -3.61
K = 4, Run (2,10,3): fitness => -3.61
K = 4, Run (2,10,4): fitness => -3.61
K = 4, Run (2,10,5): fitness => -3.61

#-3.61

real	0m0.612s
user	0m0.532s
sys	0m0.059s
K = 4, D = 1, C = 3
config1 =

  scalar structure containing the fields:

    ndisc =  1
    ncont =  3
    nintr = 0


K = 4, Run (1,1,1): fitness => -4.33
K = 4, Run (1,1,2): fitness => -4.19
K = 4, Run (1,1,3): fitness => -4.08
K = 4, Run (1,1,4): fitness => -4.05
K = 4, Run (1,1,5): fitness => -4.05

K = 4, Run (1,2,1): fitness => -4.09
K = 4, Run (1,2,2): fitness => -4.06
K = 4, Run (1,2,3): fitness => -4.05
K = 4, Run (1,2,4): fitness => -4.05
K = 4, Run (1,2,5): fitness => -4.05

K = 4, Run (1,3,1): fitness => -4.05
K = 4, Run (1,3,2): fitness => -4.05
K = 4, Run (1,3,3): fitness => -4.05
K = 4, Run (1,3,4): fitness => -4.05
K = 4, Run (1,3,5): fitness => -4.05

K = 4, Run (1,4,1): fitness => -4.05
K = 4, Run (1,4,2): fitness => -4.05
K = 4, Run (1,4,3): fitness => -4.05
K = 4, Run (1,4,4): fitness => -4.05
K = 4, Run (1,4,5): fitness => -4.05

K = 4, Run (1,5,1): fitness => -4.05
K = 4, Run (1,5,2): fitness => -4.05
K = 4, Run (1,5,3): fitness => -4.05
K = 4, Run (1,5,4): fitness => -4.05
K = 4, Run (1,5,5): fitness => -4.05

K = 4, Run (1,6,1): fitness => -4.05
K = 4, Run (1,6,2): fitness => -4.05
K = 4, Run (1,6,3): fitness => -4.05
K = 4, Run (1,6,4): fitness => -4.05
K = 4, Run (1,6,5): fitness => -4.05

K = 4, Run (1,7,1): fitness => -4.05
K = 4, Run (1,7,2): fitness => -4.05
K = 4, Run (1,7,3): fitness => -4.05
K = 4, Run (1,7,4): fitness => -4.05
K = 4, Run (1,7,5): fitness => -4.05

K = 4, Run (1,8,1): fitness => -4.05
K = 4, Run (1,8,2): fitness => -4.05
K = 4, Run (1,8,3): fitness => -4.05
K = 4, Run (1,8,4): fitness => -4.05
K = 4, Run (1,8,5): fitness => -4.05

K = 4, Run (1,9,1): fitness => -4.05
K = 4, Run (1,9,2): fitness => -4.05
K = 4, Run (1,9,3): fitness => -4.05
K = 4, Run (1,9,4): fitness => -4.05
K = 4, Run (1,9,5): fitness => -4.05

K = 4, Run (1,10,1): fitness => -4.05
K = 4, Run (1,10,2): fitness => -4.05
K = 4, Run (1,10,3): fitness => -4.05
K = 4, Run (1,10,4): fitness => -4.05
K = 4, Run (1,10,5): fitness => -4.05

K = 4, Run (2,1,1): fitness => -4.52
K = 4, Run (2,1,2): fitness => -4.40
K = 4, Run (2,1,3): fitness => -4.31
K = 4, Run (2,1,4): fitness => -4.26
K = 4, Run (2,1,5): fitness => -4.22

K = 4, Run (2,2,1): fitness => -4.37
K = 4, Run (2,2,2): fitness => -4.31
K = 4, Run (2,2,3): fitness => -4.26
K = 4, Run (2,2,4): fitness => -4.22
K = 4, Run (2,2,5): fitness => -4.22

K = 4, Run (2,3,1): fitness => -4.29
K = 4, Run (2,3,2): fitness => -4.24
K = 4, Run (2,3,3): fitness => -4.22
K = 4, Run (2,3,4): fitness => -4.22
K = 4, Run (2,3,5): fitness => -4.22

K = 4, Run (2,4,1): fitness => -4.22
K = 4, Run (2,4,2): fitness => -4.22
K = 4, Run (2,4,3): fitness => -4.22
K = 4, Run (2,4,4): fitness => -4.22
K = 4, Run (2,4,5): fitness => -4.22

K = 4, Run (2,5,1): fitness => -4.22
K = 4, Run (2,5,2): fitness => -4.22
K = 4, Run (2,5,3): fitness => -4.22
K = 4, Run (2,5,4): fitness => -4.22
K = 4, Run (2,5,5): fitness => -4.22

K = 4, Run (2,6,1): fitness => -4.22
K = 4, Run (2,6,2): fitness => -4.22
K = 4, Run (2,6,3): fitness => -4.22
K = 4, Run (2,6,4): fitness => -4.22
K = 4, Run (2,6,5): fitness => -4.22

K = 4, Run (2,7,1): fitness => -4.22
K = 4, Run (2,7,2): fitness => -4.22
K = 4, Run (2,7,3): fitness => -4.22
K = 4, Run (2,7,4): fitness => -4.22
K = 4, Run (2,7,5): fitness => -4.22

K = 4, Run (2,8,1): fitness => -4.22
K = 4, Run (2,8,2): fitness => -4.22
K = 4, Run (2,8,3): fitness => -4.22
K = 4, Run (2,8,4): fitness => -4.22
K = 4, Run (2,8,5): fitness => -4.22

K = 4, Run (2,9,1): fitness => -4.22
K = 4, Run (2,9,2): fitness => -4.22
K = 4, Run (2,9,3): fitness => -4.22
K = 4, Run (2,9,4): fitness => -4.22
K = 4, Run (2,9,5): fitness => -4.22

K = 4, Run (2,10,1): fitness => -4.22
K = 4, Run (2,10,2): fitness => -4.22
K = 4, Run (2,10,3): fitness => -4.22
K = 4, Run (2,10,4): fitness => -4.22
K = 4, Run (2,10,5): fitness => -4.22

#-4.05

real	0m0.678s
user	0m0.579s
sys	0m0.064s
K = 4, D = 1, C = 3
config1 =

  scalar structure containing the fields:

    ndisc =  1
    ncont =  3
    nintr = 0


K = 4, Run (1,1,1): fitness => -3.69
K = 4, Run (1,1,2): fitness => -3.62
K = 4, Run (1,1,3): fitness => -3.55
K = 4, Run (1,1,4): fitness => -3.51
K = 4, Run (1,1,5): fitness => -3.48

K = 4, Run (1,2,1): fitness => -3.61
K = 4, Run (1,2,2): fitness => -3.56
K = 4, Run (1,2,3): fitness => -3.51
K = 4, Run (1,2,4): fitness => -3.48
K = 4, Run (1,2,5): fitness => -3.48

K = 4, Run (1,3,1): fitness => -3.54
K = 4, Run (1,3,2): fitness => -3.49
K = 4, Run (1,3,3): fitness => -3.48
K = 4, Run (1,3,4): fitness => -3.48
K = 4, Run (1,3,5): fitness => -3.48

K = 4, Run (1,4,1): fitness => -3.48
K = 4, Run (1,4,2): fitness => -3.48
K = 4, Run (1,4,3): fitness => -3.48
K = 4, Run (1,4,4): fitness => -3.48
K = 4, Run (1,4,5): fitness => -3.48

K = 4, Run (1,5,1): fitness => -3.48
K = 4, Run (1,5,2): fitness => -3.48
K = 4, Run (1,5,3): fitness => -3.48
K = 4, Run (1,5,4): fitness => -3.48
K = 4, Run (1,5,5): fitness => -3.48

K = 4, Run (1,6,1): fitness => -3.48
K = 4, Run (1,6,2): fitness => -3.48
K = 4, Run (1,6,3): fitness => -3.48
K = 4, Run (1,6,4): fitness => -3.48
K = 4, Run (1,6,5): fitness => -3.48

K = 4, Run (1,7,1): fitness => -3.48
K = 4, Run (1,7,2): fitness => -3.48
K = 4, Run (1,7,3): fitness => -3.48
K = 4, Run (1,7,4): fitness => -3.48
K = 4, Run (1,7,5): fitness => -3.48

K = 4, Run (1,8,1): fitness => -3.48
K = 4, Run (1,8,2): fitness => -3.48
K = 4, Run (1,8,3): fitness => -3.48
K = 4, Run (1,8,4): fitness => -3.48
K = 4, Run (1,8,5): fitness => -3.48

K = 4, Run (1,9,1): fitness => -3.48
K = 4, Run (1,9,2): fitness => -3.48
K = 4, Run (1,9,3): fitness => -3.48
K = 4, Run (1,9,4): fitness => -3.48
K = 4, Run (1,9,5): fitness => -3.48

K = 4, Run (1,10,1): fitness => -3.48
K = 4, Run (1,10,2): fitness => -3.48
K = 4, Run (1,10,3): fitness => -3.48
K = 4, Run (1,10,4): fitness => -3.48
K = 4, Run (1,10,5): fitness => -3.48

K = 4, Run (2,1,1): fitness => -3.83
K = 4, Run (2,1,2): fitness => -3.77
K = 4, Run (2,1,3): fitness => -3.73
K = 4, Run (2,1,4): fitness => -3.70
K = 4, Run (2,1,5): fitness => -3.70

K = 4, Run (2,2,1): fitness => -3.75
K = 4, Run (2,2,2): fitness => -3.72
K = 4, Run (2,2,3): fitness => -3.70
K = 4, Run (2,2,4): fitness => -3.70
K = 4, Run (2,2,5): fitness => -3.70

K = 4, Run (2,3,1): fitness => -3.71
K = 4, Run (2,3,2): fitness => -3.70
K = 4, Run (2,3,3): fitness => -3.70
K = 4, Run (2,3,4): fitness => -3.70
K = 4, Run (2,3,5): fitness => -3.70

K = 4, Run (2,4,1): fitness => -3.70
K = 4, Run (2,4,2): fitness => -3.70
K = 4, Run (2,4,3): fitness => -3.70
K = 4, Run (2,4,4): fitness => -3.70
K = 4, Run (2,4,5): fitness => -3.70

K = 4, Run (2,5,1): fitness => -3.70
K = 4, Run (2,5,2): fitness => -3.70
K = 4, Run (2,5,3): fitness => -3.70
K = 4, Run (2,5,4): fitness => -3.70
K = 4, Run (2,5,5): fitness => -3.70

K = 4, Run (2,6,1): fitness => -3.70
K = 4, Run (2,6,2): fitness => -3.70
K = 4, Run (2,6,3): fitness => -3.70
K = 4, Run (2,6,4): fitness => -3.70
K = 4, Run (2,6,5): fitness => -3.70

K = 4, Run (2,7,1): fitness => -3.70
K = 4, Run (2,7,2): fitness => -3.70
K = 4, Run (2,7,3): fitness => -3.70
K = 4, Run (2,7,4): fitness => -3.70
K = 4, Run (2,7,5): fitness => -3.70

K = 4, Run (2,8,1): fitness => -3.70
K = 4, Run (2,8,2): fitness => -3.70
K = 4, Run (2,8,3): fitness => -3.70
K = 4, Run (2,8,4): fitness => -3.70
K = 4, Run (2,8,5): fitness => -3.70

K = 4, Run (2,9,1): fitness => -3.70
K = 4, Run (2,9,2): fitness => -3.70
K = 4, Run (2,9,3): fitness => -3.70
K = 4, Run (2,9,4): fitness => -3.70
K = 4, Run (2,9,5): fitness => -3.70

K = 4, Run (2,10,1): fitness => -3.70
K = 4, Run (2,10,2): fitness => -3.70
K = 4, Run (2,10,3): fitness => -3.70
K = 4, Run (2,10,4): fitness => -3.70
K = 4, Run (2,10,5): fitness => -3.70

#-3.48

real	0m0.583s
user	0m0.509s
sys	0m0.062s
K = 4, D = 1, C = 3
config1 =

  scalar structure containing the fields:

    ndisc =  1
    ncont =  3
    nintr = 0


K = 4, Run (1,1,1): fitness => -4.85
K = 4, Run (1,1,2): fitness => -4.72
K = 4, Run (1,1,3): fitness => -4.59
K = 4, Run (1,1,4): fitness => -4.50
K = 4, Run (1,1,5): fitness => -4.41

K = 4, Run (1,2,1): fitness => -4.71
K = 4, Run (1,2,2): fitness => -4.61
K = 4, Run (1,2,3): fitness => -4.50
K = 4, Run (1,2,4): fitness => -4.41
K = 4, Run (1,2,5): fitness => -4.41

K = 4, Run (1,3,1): fitness => -4.56
K = 4, Run (1,3,2): fitness => -4.45
K = 4, Run (1,3,3): fitness => -4.41
K = 4, Run (1,3,4): fitness => -4.41
K = 4, Run (1,3,5): fitness => -4.41

K = 4, Run (1,4,1): fitness => -4.41
K = 4, Run (1,4,2): fitness => -4.41
K = 4, Run (1,4,3): fitness => -4.41
K = 4, Run (1,4,4): fitness => -4.41
K = 4, Run (1,4,5): fitness => -4.41

K = 4, Run (1,5,1): fitness => -4.41
K = 4, Run (1,5,2): fitness => -4.41
K = 4, Run (1,5,3): fitness => -4.41
K = 4, Run (1,5,4): fitness => -4.41
K = 4, Run (1,5,5): fitness => -4.41

K = 4, Run (1,6,1): fitness => -4.41
K = 4, Run (1,6,2): fitness => -4.41
K = 4, Run (1,6,3): fitness => -4.41
K = 4, Run (1,6,4): fitness => -4.41
K = 4, Run (1,6,5): fitness => -4.41

K = 4, Run (1,7,1): fitness => -4.41
K = 4, Run (1,7,2): fitness => -4.41
K = 4, Run (1,7,3): fitness => -4.41
K = 4, Run (1,7,4): fitness => -4.41
K = 4, Run (1,7,5): fitness => -4.41

K = 4, Run (1,8,1): fitness => -4.41
K = 4, Run (1,8,2): fitness => -4.41
K = 4, Run (1,8,3): fitness => -4.41
K = 4, Run (1,8,4): fitness => -4.41
K = 4, Run (1,8,5): fitness => -4.41

K = 4, Run (1,9,1): fitness => -4.41
K = 4, Run (1,9,2): fitness => -4.41
K = 4, Run (1,9,3): fitness => -4.41
K = 4, Run (1,9,4): fitness => -4.41
K = 4, Run (1,9,5): fitness => -4.41

K = 4, Run (1,10,1): fitness => -4.41
K = 4, Run (1,10,2): fitness => -4.41
K = 4, Run (1,10,3): fitness => -4.41
K = 4, Run (1,10,4): fitness => -4.41
K = 4, Run (1,10,5): fitness => -4.41

K = 4, Run (2,1,1): fitness => -4.82
K = 4, Run (2,1,2): fitness => -4.70
K = 4, Run (2,1,3): fitness => -4.56
K = 4, Run (2,1,4): fitness => -4.49
K = 4, Run (2,1,5): fitness => -4.48

K = 4, Run (2,2,1): fitness => -4.62
K = 4, Run (2,2,2): fitness => -4.53
K = 4, Run (2,2,3): fitness => -4.49
K = 4, Run (2,2,4): fitness => -4.48
K = 4, Run (2,2,5): fitness => -4.48

K = 4, Run (2,3,1): fitness => -4.50
K = 4, Run (2,3,2): fitness => -4.49
K = 4, Run (2,3,3): fitness => -4.48
K = 4, Run (2,3,4): fitness => -4.48
K = 4, Run (2,3,5): fitness => -4.48

K = 4, Run (2,4,1): fitness => -4.48
K = 4, Run (2,4,2): fitness => -4.48
K = 4, Run (2,4,3): fitness => -4.48
K = 4, Run (2,4,4): fitness => -4.48
K = 4, Run (2,4,5): fitness => -4.48

K = 4, Run (2,5,1): fitness => -4.48
K = 4, Run (2,5,2): fitness => -4.48
K = 4, Run (2,5,3): fitness => -4.48
K = 4, Run (2,5,4): fitness => -4.48
K = 4, Run (2,5,5): fitness => -4.48

K = 4, Run (2,6,1): fitness => -4.48
K = 4, Run (2,6,2): fitness => -4.48
K = 4, Run (2,6,3): fitness => -4.48
K = 4, Run (2,6,4): fitness => -4.48
K = 4, Run (2,6,5): fitness => -4.48

K = 4, Run (2,7,1): fitness => -4.48
K = 4, Run (2,7,2): fitness => -4.48
K = 4, Run (2,7,3): fitness => -4.48
K = 4, Run (2,7,4): fitness => -4.48
K = 4, Run (2,7,5): fitness => -4.48

K = 4, Run (2,8,1): fitness => -4.48
K = 4, Run (2,8,2): fitness => -4.48
K = 4, Run (2,8,3): fitness => -4.48
K = 4, Run (2,8,4): fitness => -4.48
K = 4, Run (2,8,5): fitness => -4.48

K = 4, Run (2,9,1): fitness => -4.48
K = 4, Run (2,9,2): fitness => -4.48
K = 4, Run (2,9,3): fitness => -4.48
K = 4, Run (2,9,4): fitness => -4.48
K = 4, Run (2,9,5): fitness => -4.48

K = 4, Run (2,10,1): fitness => -4.48
K = 4, Run (2,10,2): fitness => -4.48
K = 4, Run (2,10,3): fitness => -4.48
K = 4, Run (2,10,4): fitness => -4.48
K = 4, Run (2,10,5): fitness => -4.48

#-4.41

real	0m0.643s
user	0m0.547s
sys	0m0.061s
K = 4, D = 1, C = 3
config1 =

  scalar structure containing the fields:

    ndisc =  1
    ncont =  3
    nintr = 0


K = 4, Run (1,1,1): fitness => -4.26
K = 4, Run (1,1,2): fitness => -4.17
K = 4, Run (1,1,3): fitness => -4.09
K = 4, Run (1,1,4): fitness => -4.04
K = 4, Run (1,1,5): fitness => -4.02

K = 4, Run (1,2,1): fitness => -4.14
K = 4, Run (1,2,2): fitness => -4.08
K = 4, Run (1,2,3): fitness => -4.04
K = 4, Run (1,2,4): fitness => -4.02
K = 4, Run (1,2,5): fitness => -4.02

K = 4, Run (1,3,1): fitness => -4.06
K = 4, Run (1,3,2): fitness => -4.03
K = 4, Run (1,3,3): fitness => -4.02
K = 4, Run (1,3,4): fitness => -4.02
K = 4, Run (1,3,5): fitness => -4.02

K = 4, Run (1,4,1): fitness => -4.02
K = 4, Run (1,4,2): fitness => -4.02
K = 4, Run (1,4,3): fitness => -4.02
K = 4, Run (1,4,4): fitness => -4.02
K = 4, Run (1,4,5): fitness => -4.02

K = 4, Run (1,5,1): fitness => -4.02
K = 4, Run (1,5,2): fitness => -4.02
K = 4, Run (1,5,3): fitness => -4.02
K = 4, Run (1,5,4): fitness => -4.02
K = 4, Run (1,5,5): fitness => -4.02

K = 4, Run (1,6,1): fitness => -4.02
K = 4, Run (1,6,2): fitness => -4.02
K = 4, Run (1,6,3): fitness => -4.02
K = 4, Run (1,6,4): fitness => -4.02
K = 4, Run (1,6,5): fitness => -4.02

K = 4, Run (1,7,1): fitness => -4.02
K = 4, Run (1,7,2): fitness => -4.02
K = 4, Run (1,7,3): fitness => -4.02
K = 4, Run (1,7,4): fitness => -4.02
K = 4, Run (1,7,5): fitness => -4.02

K = 4, Run (1,8,1): fitness => -4.02
K = 4, Run (1,8,2): fitness => -4.02
K = 4, Run (1,8,3): fitness => -4.02
K = 4, Run (1,8,4): fitness => -4.02
K = 4, Run (1,8,5): fitness => -4.02

K = 4, Run (1,9,1): fitness => -4.02
K = 4, Run (1,9,2): fitness => -4.02
K = 4, Run (1,9,3): fitness => -4.02
K = 4, Run (1,9,4): fitness => -4.02
K = 4, Run (1,9,5): fitness => -4.02

K = 4, Run (1,10,1): fitness => -4.02
K = 4, Run (1,10,2): fitness => -4.02
K = 4, Run (1,10,3): fitness => -4.02
K = 4, Run (1,10,4): fitness => -4.02
K = 4, Run (1,10,5): fitness => -4.02

K = 4, Run (2,1,1): fitness => -4.27
K = 4, Run (2,1,2): fitness => -4.21
K = 4, Run (2,1,3): fitness => -4.15
K = 4, Run (2,1,4): fitness => -4.14
K = 4, Run (2,1,5): fitness => -4.14

K = 4, Run (2,2,1): fitness => -4.16
K = 4, Run (2,2,2): fitness => -4.15
K = 4, Run (2,2,3): fitness => -4.14
K = 4, Run (2,2,4): fitness => -4.14
K = 4, Run (2,2,5): fitness => -4.14

K = 4, Run (2,3,1): fitness => -4.15
K = 4, Run (2,3,2): fitness => -4.14
K = 4, Run (2,3,3): fitness => -4.14
K = 4, Run (2,3,4): fitness => -4.14
K = 4, Run (2,3,5): fitness => -4.14

K = 4, Run (2,4,1): fitness => -4.14
K = 4, Run (2,4,2): fitness => -4.14
K = 4, Run (2,4,3): fitness => -4.14
K = 4, Run (2,4,4): fitness => -4.14
K = 4, Run (2,4,5): fitness => -4.14

K = 4, Run (2,5,1): fitness => -4.14
K = 4, Run (2,5,2): fitness => -4.14
K = 4, Run (2,5,3): fitness => -4.14
K = 4, Run (2,5,4): fitness => -4.14
K = 4, Run (2,5,5): fitness => -4.14

K = 4, Run (2,6,1): fitness => -4.14
